db_id,artistName,albumName,trackName,id,albumID,uri,duration_ms
13329,Sean Dagher,Assassin's Creed 4: Black Flag (Sea Shanty Edition) [Original Game Soundtrack],Leave Her Johnny,2vaa0nnDnNTlxCh7fCmjsr,2lMgz2BBwwzkc9ZfNB9zYi,spotify:track:2vaa0nnDnNTlxCh7fCmjsr,132293
13330,Sea of Thieves,"Shanty Selects, Vol. 1 (Original Game Soundtrack)",Bosun Bill,40wVJcBuuWWIuUlITBmx9l,1dGCQcUtOUTNvbkFd1A6J2,spotify:track:40wVJcBuuWWIuUlITBmx9l,144284
13331,Sea of Thieves,"Shanty Selects, Vol. 1 (Original Game Soundtrack)",Grogg Mayles,0kHvdb6ziEmzlnN9jnnLXz,1dGCQcUtOUTNvbkFd1A6J2,spotify:track:0kHvdb6ziEmzlnN9jnnLXz,112839
13332,The Dreadnoughts,Foreign Skies,The Bay of Suvla,2pctwNyXi67NJtzhojYuY0,4sXaOOcXH2tfRFUJsiIzKh,spotify:track:2pctwNyXi67NJtzhojYuY0,143600
13333,The Dreadnoughts,Uncle Touchy Goes to College,Old Maui,2Z3HoiSJcI8V3px23szKq7,3AtaamrqosM5VdORJN2WR9,spotify:track:2Z3HoiSJcI8V3px23szKq7,212288
13334,Nils Brown,"Assassin's Creed 4: Black Flag (Sea Shanty Edition, Vol. 2) [Original Game Soundtrack]",Lowlands Away,0xQulEotE4SkbS4hpi9P9X,3xIHHyUh7RTAzLzXUzksBB,spotify:track:0xQulEotE4SkbS4hpi9P9X,173667
13335,The Longest Johns,Between Wind And Water,Wellerman,6ZblDQM0Gq0daaPAwuHOmD,0czdThetfLyCdGpAF2dRqR,spotify:track:6ZblDQM0Gq0daaPAwuHOmD,136500
13336,The Longest Johns,Between Wind And Water,Banks Of Newfoundland,6A9VoG81NedYgH2pRSxKmb,0czdThetfLyCdGpAF2dRqR,spotify:track:6A9VoG81NedYgH2pRSxKmb,178500
13337,The Dreadnoughts,Uncle Touchy Goes to College,The Cruel Wars,6BadR8UdEijDv01ZafyO62,3AtaamrqosM5VdORJN2WR9,spotify:track:6BadR8UdEijDv01ZafyO62,187755
13338,The Dreadnoughts,Polka's Not Dead,Randy Dandy-Oh,7f2vcDjWjVqkENE38q7vxJ,5V7rg6LPNl4TgqiGzA4kZH,spotify:track:7f2vcDjWjVqkENE38q7vxJ,119653
